PRICE,AREA
39 L,920
27.28 L,535
92 L,1940
42 L,910
54.66 L,1163
42.35 L,901
75.92 L,1460
54.6 L,1050
37.94 L,1084
29.5 L,838
32.76 L,819
47 L,688
46.45 L,1162
38 L,933
5.91 Cr,4103
3.18 Cr,2199
69.31 L,1359
49.67 L,974
44.66 L,812
37.92 L,1185
24.9 L,778
35.07 L,1079
27.17 L,836
41.06 L,1173
20.58 L,510
26.78 L,558
25.09 L,965
16.8 L,646
10.53 L,390
29.4 L,717
49.68 L,1035
35.22 L,840
24.6 L,630
16 L,400
14.5 L,400
25 L,916
41.56 L,815
79.66 L,1306
58.62 L,962
34.1 L,943
50 L,1287
56.4 L,1128
43.75 L,875
65.34 L,1452
52.15 L,1159
45 L,1377
26.31 L,506
75 L,1208
60.51 L,976
28.21 L,806
20.23 L,578
74.15 L,1236
1.13 Cr,1791
1.75 Cr,1660
82 L,1263
36.5 L,977
2.72 Cr,1925
1.2 Cr,1300
70 L,1020
28.5 L,1023
35 L,792
50 L,1056
51.6 L,1214
50 L,920
3.25 Cr,2165
45 L,1045
20 L,712
35 L,600
50 L,1034
37 L,1085
31.5 L,780
26 L,892
32 L,550
36 L,1377
75 L,1295
38 L,1175
28 L,776
60 L,1256
1.75 Cr,1671
55 L,1429
98.67 L,1794
63.24 L,1054
53.9 L,1170
88.44 L,1039
45 L,1200
1.22 Cr,1328
75 L,1424
39 L,825
38 L,800
28 L,865
35.5 L,925
60 L,840
1.27 Cr,1184
42 L,910
69 L,1370
30 L,1018
32 L,712
60 L,1524
28 L,970
65 L,1500
33.5 L,957
2.81 Cr,2838
56 L,1188
55 L,1054
33 L,824
30 L,856
63 L,1210
78.5 L,2520
30 L,975
60 L,1562
70 L,1220
36.5 L,810
85 L,990
65 L,1270
75 L,1175
31 L,912
1.75 Cr,1421
30 L,820
38 L,750
43 L,1070
61 L,1175
36 L,950
36 L,883
60 L,1267
37 L,927
75 L,1230
40 L,904
77 L,1145
75 L,1379
80 L,1359
35 L,1000
36.84 L,1220
22 L,973
30.7 L,780
26 L,970
51 L,1148
68 L,1345
19 L,500
46 L,1045
42 L,950
22 L,715
40 L,1180
82 L,1521
35.5 L,768
60 L,1210
68 L,1319
36 L,861
30 L,916
44.9 L,1100
65 L,1268
75 L,1475
68 L,1475
55 L,880
1.02 Cr,2239
55 L,1285
1.1 Cr,1450
40 L,910
1.41 Cr,1305
81.76 L,1528
48 L,897
25 L,854
69.25 L,1539
46.3 L,929
40 L,824
90 L,1450
1 Cr,1350
38 L,800
85 L,1133
6.75 Cr,5069
82 L,1155
19.5 L,721
30.26 L,976
