BEDROOM_NUM,BATHROOM_NUM,PRICE_PER_SQFT,AREA,LOCATION,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,BALCONY_NUM,FLOOR_NUM,CARPET_SQFT,SUPERBUILTUP_SQFT,BUILTUP_SQFT,SUPER_AREA,SUPERAREA_UNIT,SUPER_SQFT
,3,11500,1978-2008,Ballygunge,,,15,6,,3,1,1246,1978,1793-1838,1978,,1978
,,7965-8010,2831,Rajarhat,,,,5,"Power Backup,Water Supply",0,19,2072,2831,2364,2831,sqm,2831
2,3,6878,3463,Behala,Furnished,West,16,8,,2,8,2192,3463,2853,3463,sq yard,3463
3,2,3875,1216,Howrah,,,9,9,Reserved Parking,1,2,776,1216,1142,1216,sq yard,1216
5,1,5247,981,Alipore,,,25,,,2,,590,981,836,981,,981
4,,14038,3132,Garia,Furnished,South-West,14,3,"Power Backup,Water Supply",0,,2038,3132,2580,3132,,3132
,2,10254,3730,Alipore,Furnished,North-East,,10,Reserved Parking,,7,2979,3730,3378,3730,,3730
4,1,11585,2497,Lake Town,Furnished,South,18,9,,3,3,1792,2497,2038,2497,sqm,2497-2525
1,2,2146,2467,Park Street,,,10,5,Rain Water Harvesting,2,10,1699,2467-2493,2197,2467,sqm,2467
4,4,8851,3660,Behala,Semi-Furnished,,29,5,"Club House,Intercom",,,2594,3660,3100,3660-3679,,3660
,3,3741,699,Park Street,Semi-Furnished,North-East,,14,,3,19,511-525,699,658,699-722,sq yard,699
5,2,6353,942,Kasba,Semi-Furnished,North,1,2,"Club House,Intercom",,17,624,942,858,942,,942
2,1,12957,2465,Rajarhat,,South-West,6,19,"Lift,Security,Park",3,7,1854,2465,2280,2465-2506,sq yard,2465
1,1,7187-7230,2902,Kasba,,,,1,Rain Water Harvesting,0,12,1750,2902,2485-2524,2902,sqm,2902
1,,7084-7133,1341,,,South-West,4,11,"Lift,Security,Park",0,5,985,1341,1157,1341,,1341
2,4,13150,435,,Semi-Furnished,South-West,28,12,,,20,265,435,396,435,,435
2,3,14357,450,Salt Lake,,North,,10,"Swimming Pool,Gym",,6,271,450,406,450,,450
2,4,7306,1885-1915,Behala,Semi-Furnished,,12,14,,0,,1156,1885-1902,1589,1885,sqft,1885-1895
4,,7338,3190,New Town,,,,7,"Power Backup,Water Supply",1,13,2523,3190,2748,3190,,3190
4,1,2854,656,Rajarhat,Furnished,North-East,,6,Reserved Parking,1,14,456,656,613,656,,656
2,1,14589,734,Rajarhat,Furnished,East,26,18,,,20,533,734,665-690,734-761,,734
2,4,13282,700,Park Street,Furnished,East,6,5,Rain Water Harvesting,0,,427,700,578,700,,700
5,2,11575,2703,Kasba,Unfurnished,North,2,20,,3,10,2161,2703,2464-2481,2703,sqm,2703
2,4,4615,2493,Garia,,,12,7,,,18,1826-1842,2493-2503,2245,2493,,2493
5,3,12840,2262,Lake Town,Semi-Furnished,South-West,25,9,,3,5,1559-1593,2262,2132,2262,sqft,2262
,4,4322,1431-1470,Jadavpur,Semi-Furnished,,,9,"Lift,Security,Park",0,12,940,1431,1230,1431,,1431
5,1,3258-3273,469,Jadavpur,Unfurnished,,15,3,,0,16,296,469,442,469-516,,469
1,1,7957-8005,1182,Lake Town,,West,19,2,"Club House,Intercom",3,15,750,1182,1110,1182,sqm,1182
1,1,3139,1946,Park Street,,,19,,"Club House,Intercom",2,18,1175,1946,1640,1946,,1946
1,2,7645,767,Behala,,North,,17,,1,,523,767,704,767,sq yard,767
3,3,13520,2626,Garia,Unfurnished,South,,18,,3,8,1844,2626,2176,2626,sq yard,2626
,4,8635,680,Kasba,,,30,4,,3,16,512,680,554,680,sq yard,680
2,2,11629,1960,Behala,,,21,7,,,13,1333,1960,1740,1960,,1960-1979
3,3,4413,563,Ballygunge,,South-West,20,7,Rain Water Harvesting,0,2,399,563,510,563,,563
2,,11486,2688,Kasba,Unfurnished,,11,8,Rain Water Harvesting,0,13,1867,2688,2359,2688,,2688
4,4,11611,2661,New Town,,North-East,14,16,Rain Water Harvesting,3,,2030,2661,2345-2383,2661,sqm,2661
1,,2301,3611,Park Street,Semi-Furnished,West,22,8,,0,20,2681,3611,3242,3611,,3611
1,2,14215-14226,1597,Alipore,Unfurnished,South,0,4,"Power Backup,Water Supply",3,13,974,1597,1366,1597,sqft,1597
2,4,4639,3975,Ballygunge,,,22,7,Rain Water Harvesting,0,2,2572,3975,3679,3975,,3975
4,1,13372,3019,Jadavpur,,East,5,6,,1,0,1887,3019,2481,3019,,3019
5,3,8238,1154,Howrah,,,,16,Reserved Parking,0,4,846,1154,1038,1154,,1154
3,1,11288,1478,Salt Lake,,North-East,1,19,Reserved Parking,1,2,919,1478,1226,1478,sq yard,1478
1,,2301,1501-1537,,,,28,16,,2,7,972,1501,1375,1501-1533,,1501
4,1,3767,3331-3362,Behala,Unfurnished,East,15,15,,0,,2616,3331,2880,3331,sqm,3331
,3,4327,1900,Tollygunge,,North,,9,"Swimming Pool,Gym",,6,1436,1900,1557,1900,sqft,1900
2,,10891,3818,Howrah,,North-East,0,4,,0,7,2765,3818,3549,3818,,3818-3852
1,1,7638-7673,437,,Furnished,,13,3,"Club House,Intercom",,6,312,437,370,437,sqft,437
,2,11688,1055,,,North,,10,"Club House,Intercom",1,19,663,1055,906,1055,sq yard,1055
1,4,13445,2077-2087,,Furnished,South-West,2,,Reserved Parking,3,13,1265,2077,1728,2077-2119,,2077-2123
,4,5814,733,Dum Dum,Semi-Furnished,,27,1,,,2,557,733-765,619,733,,733-749
1,4,8711,1031,Garia,,,6,19,"Power Backup,Water Supply",,19,722,1031,847,1031,sqft,1031
1,4,13873,2503,Lake Town,,South-West,22,14,,3,,1665,2503,2089-2119,2503,sq yard,2503
3,2,9269,3269,Alipore,,South-West,21,7,,1,18,1996,3269,2660,3269,,3269
,1,13969,3420,Kasba,,,16,13,"Power Backup,Water Supply",,10,2232,3420,2975-3002,3420,sqm,3420
1,2,10861,2957,Tollygunge,Semi-Furnished,South-West,4,20,"Power Backup,Water Supply",0,17,2109,2957,2454,2957,sq yard,2957
1,1,8529,2712,Howrah,Furnished,,3,11,"Lift,Security,Park",1,,1694-1729,2712-2733,2504,2712,sqft,2712
4,1,10150,3271,Howrah,Furnished,South,22,,Rain Water Harvesting,3,15,2579,3271,2875,3271,,3271
1,3,6645,3843,Dum Dum,,North,,,"Club House,Intercom",0,,2482,3843-3892,3351,3843,,3843-3855
1,,3002,913,Kasba,,,8,20,,3,,683,913,793,913-959,,913
5,4,10397,3701,Tollygunge,,,21,5,,0,12,2898,3701,3381,3701,,3701
2,4,6339,2909,Tollygunge,Furnished,South,29,19,,1,6,2078,2909,2449-2460,2909,sq yard,2909
1,3,14513,1218-1252,Behala,Furnished,,,18,"Lift,Security,Park",1,8,840,1218,1140,1218,sqm,1218
3,3,8275,2488,New Town,,North-East,8,20,Reserved Parking,0,14,1564,2488,2086,2488,sqm,2488
5,1,3866,3754,Tollygunge,,,22,,,1,13,3002,3754,3364,3754,sqm,3754
5,2,4900,1331,Salt Lake,Unfurnished,,1,16,"Club House,Intercom",3,,890,1331,1241,1331,sqft,1331
2,,10675,1702,,Furnished,South,,4,"Lift,Security,Park",3,12,1349,1702,1478,1702,,1702-1717
1,,12802,2556,Tollygunge,Unfurnished,,,19,Reserved Parking,1,8,1878-1913,2556,2248-2278,2556,,2556
1,1,5656,1656,,,West,,2,,0,0,1229,1656,1425,1656,sq yard,1656
2,4,5457,2623,Ballygunge,,West,,11,,3,17,1649-1672,2623,2487,2623-2651,sq yard,2623
4,4,4948,857,Garia,Semi-Furnished,,23,13,"Club House,Intercom",2,,578,857,716,857,sq yard,857
2,3,3609,3854,Rajarhat,Furnished,,29,12,Rain Water Harvesting,3,14,2645,3854,3118,3854,,3854
3,2,12152,2950,Tollygunge,Semi-Furnished,East,,10,,2,8,2359,2950,2386,2950,sqm,2950
3,,9107,3567,Lake Town,,,,,"Swimming Pool,Gym",0,6,2654-2670,3567,2932,3567-3610,,3567
5,4,11732,619,Garia,Unfurnished,North-East,23,,,3,8,372,619,515,619,sqft,619
,,9338,3133,Ballygunge,,North-East,1,14,Reserved Parking,,16,2444,3133,2851,3133,,3133-3166
,1,9596-9628,1444,Tollygunge,,,23,,,2,8,878,1444,1308,1444,sqm,1444
1,2,9726-9765,1316,Jadavpur,Furnished,South,18,3,"Swimming Pool,Gym",1,12,980,1316-1340,1127,1316,sqm,1316
1,3,3425,1020-1064,Ballygunge,,South,,20,"Lift,Security,Park",0,12,752,1020,889,1020,,1020
3,1,13529,2974,Tollygunge,Furnished,North-East,,15,"Swimming Pool,Gym",1,2,2161,2974,2638,2974,sqm,2974
4,4,5807-5827,562-593,Lake Town,,,6,3,,,2,437,562,510-559,562,sq yard,562
4,3,7837,683,Tollygunge,Furnished,North-East,7,5,,1,12,420-462,683,590,683,sqm,683
2,3,5819,1711,,,South,4,20,"Club House,Intercom",1,,1114,1711-1751,1529,1711,,1711
,4,8466,2553,,Furnished,North-East,28,4,Rain Water Harvesting,1,11,1605,2553,2313-2336,2553,sq yard,2553
5,4,14276,2909,Kasba,Unfurnished,,14,20,,1,6,2152,2909,2456,2909,sqft,2909
4,2,10199,3420,Behala,,South,21,6,"Swimming Pool,Gym",1,,2236,3420,3114,3420,sq yard,3420
5,3,9139,3027,Garia,Semi-Furnished,South-West,,13,"Club House,Intercom",0,,2181,3027,2515,3027,sqft,3027
4,1,13719,2462,Kasba,,West,,,,2,2,1856-1894,2462-2512,2062,2462,,2462
4,,14708,1423,Jadavpur,Furnished,West,26,14,,3,15,1067-1078,1423,1274,1423,,1423
2,2,9031,2385,,,,26,19,,3,12,1750,2385,2064,2385,sqft,2385
4,1,7519,1483,Jadavpur,,South,,17,Reserved Parking,3,7,976,1483,1374-1384,1483,sq yard,1483
